epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,7552.66,0.53737,0.38897,0.85309,0.79757,0.73574,0.74083,0.48052,1.00045,0.50387,1.04112,0.000656,0.000656,0.000656
74,7732.8,0.55252,0.39614,0.8573,0.80984,0.73721,0.7607,0.4846,1.00464,0.53688,1.06603,0.00064775,0.00064775,0.00064775
75,7896.51,0.54238,0.38947,0.85532,0.87298,0.65232,0.72101,0.48294,0.96758,0.4976,1.02734,0.0006395,0.0006395,0.0006395
76,7992.68,0.55385,0.38663,0.85686,0.79624,0.73645,0.7454,0.50713,0.99809,0.46489,1.0491,0.00063125,0.00063125,0.00063125
77,8145.48,0.54563,0.38621,0.85315,0.90329,0.63709,0.71865,0.46591,0.98735,0.47577,1.02477,0.000623,0.000623,0.000623
78,8284.04,0.53851,0.38876,0.85512,0.82282,0.66287,0.7234,0.46317,1.01805,0.53556,1.05328,0.00061475,0.00061475,0.00061475
79,8423.91,0.53853,0.38266,0.85349,0.83206,0.67693,0.75535,0.47367,0.99761,0.57702,1.0382,0.0006065,0.0006065,0.0006065
80,8526.11,0.5516,0.38116,0.85877,0.90254,0.68221,0.78052,0.49217,0.97051,0.47193,1.04127,0.00059825,0.00059825,0.00059825
81,8612.86,0.52756,0.37228,0.85114,0.84194,0.61858,0.72791,0.46701,1.00153,0.51096,1.04714,0.00059,0.00059,0.00059
82,8712.4,0.53634,0.37958,0.85044,0.85054,0.6958,0.75123,0.46338,1.00018,0.49237,1.03819,0.00058175,0.00058175,0.00058175
83,8805.5,0.52487,0.36882,0.84965,0.82571,0.70498,0.73834,0.47011,0.98291,0.49768,1.04359,0.0005735,0.0005735,0.0005735
84,8892.11,0.54205,0.37542,0.84525,0.83683,0.71817,0.76429,0.46603,1.01195,0.4867,1.07839,0.00056525,0.00056525,0.00056525
85,8986.41,0.5096,0.36317,0.84758,0.83443,0.7234,0.76544,0.47683,1.02567,0.53257,1.07739,0.000557,0.000557,0.000557
86,9075.83,0.52255,0.3624,0.84598,0.87615,0.64818,0.73814,0.4659,1.00142,0.5076,1.03111,0.00054875,0.00054875,0.00054875
87,9170.27,0.5097,0.35347,0.83947,0.83082,0.71417,0.76027,0.47766,1.0261,0.48278,1.064,0.0005405,0.0005405,0.0005405
88,9253.31,0.51512,0.35274,0.84482,0.76058,0.74954,0.79202,0.49371,1.01551,0.51699,1.04368,0.00053225,0.00053225,0.00053225
89,9342.89,0.5053,0.35189,0.84308,0.85048,0.73081,0.76132,0.47751,0.997,0.50671,1.05117,0.000524,0.000524,0.000524
90,9436.7,0.529,0.35923,0.84782,0.8752,0.72832,0.7919,0.50679,0.98934,0.50576,1.0542,0.00051575,0.00051575,0.00051575
91,9540.61,0.50706,0.35299,0.84555,0.8446,0.73039,0.77709,0.49939,1.01492,0.5054,1.07724,0.0005075,0.0005075,0.0005075
92,9624.02,0.51666,0.35648,0.84364,0.85061,0.75978,0.78304,0.48579,1.05222,0.4818,1.04639,0.00049925,0.00049925,0.00049925
93,9709.47,0.50039,0.34882,0.84354,0.88498,0.72332,0.76884,0.50712,1.01732,0.47907,1.03941,0.000491,0.000491,0.000491
94,9804.16,0.50126,0.3465,0.83427,0.91346,0.68908,0.78863,0.49844,1.01539,0.48501,1.0375,0.00048275,0.00048275,0.00048275
95,9906.4,0.49129,0.34942,0.83889,0.7884,0.69303,0.79426,0.48061,1.03201,0.49144,1.05844,0.0004745,0.0004745,0.0004745
96,10011.7,0.50461,0.35105,0.84116,0.88068,0.74051,0.78722,0.48679,0.97967,0.48844,1.02993,0.00046625,0.00046625,0.00046625
97,10123.4,0.49201,0.33463,0.83905,0.87909,0.80096,0.83655,0.5084,1.01088,0.49129,1.04735,0.000458,0.000458,0.000458
98,10236,0.4841,0.34282,0.83517,0.8616,0.71662,0.78234,0.47467,0.99645,0.48094,1.03598,0.00044975,0.00044975,0.00044975
99,10324.8,0.5073,0.34394,0.8448,0.85746,0.71794,0.80867,0.49912,1.01231,0.49532,1.05824,0.0004415,0.0004415,0.0004415
100,10412.3,0.4909,0.34607,0.84097,0.83195,0.72088,0.74626,0.48897,1.01757,0.5081,1.05072,0.00043325,0.00043325,0.00043325
101,10512.4,0.48905,0.33906,0.8371,0.79099,0.79479,0.84694,0.52849,1.03301,0.51193,1.06475,0.000425,0.000425,0.000425
102,10605.6,0.48998,0.33801,0.83844,0.82464,0.84475,0.87134,0.51424,1.00205,0.45689,1.04285,0.00041675,0.00041675,0.00041675
103,10693.6,0.48851,0.33247,0.84127,0.84739,0.69983,0.75641,0.48476,1.02539,0.53852,1.06128,0.0004085,0.0004085,0.0004085
104,10794.5,0.49391,0.33396,0.83767,0.8443,0.7511,0.81483,0.51491,1.00187,0.48335,1.03381,0.00040025,0.00040025,0.00040025
105,10884.7,0.48959,0.32992,0.83668,0.86224,0.68467,0.81038,0.51156,0.99258,0.49633,1.05576,0.000392,0.000392,0.000392
106,10983.9,0.47467,0.32248,0.83289,0.85496,0.69489,0.76682,0.51057,0.99756,0.46897,1.05903,0.00038375,0.00038375,0.00038375
