epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
124,1374.68,0.50195,0.35325,0.83433,0.83235,0.73595,0.82261,0.52298,1.07151,0.46019,1.07249,0.000742625,0.000742625,0.000742625
125,1385.27,0.48829,0.35158,0.83139,0.77378,0.72371,0.80464,0.51936,1.10506,0.47991,1.1202,0.0007385,0.0007385,0.0007385
126,1396.32,0.47819,0.34547,0.82745,0.83617,0.65626,0.77534,0.5062,1.04729,0.47243,1.08919,0.000734375,0.000734375,0.000734375
127,1407.7,0.4911,0.34187,0.83019,0.67728,0.77559,0.79837,0.54561,1.08589,0.45491,1.1231,0.00073025,0.00073025,0.00073025
128,1418.85,0.48814,0.34061,0.83349,0.81789,0.80901,0.83718,0.5444,1.06055,0.43725,1.09409,0.000726125,0.000726125,0.000726125
129,1430.12,0.4896,0.34297,0.83653,0.89538,0.70326,0.83607,0.55932,1.06775,0.43469,1.10319,0.000722,0.000722,0.000722
130,1440.61,0.4845,0.33872,0.83546,0.87496,0.82999,0.85639,0.57037,1.13177,0.46667,1.1537,0.000717875,0.000717875,0.000717875
131,1451.2,0.49702,0.34808,0.83633,0.80074,0.81714,0.85562,0.54534,1.114,0.44836,1.146,0.00071375,0.00071375,0.00071375
132,1461.83,0.49289,0.34717,0.83223,0.71507,0.77604,0.82153,0.55695,1.08465,0.45443,1.12489,0.000709625,0.000709625,0.000709625
133,1472.94,0.482,0.33789,0.83029,0.84301,0.76542,0.86136,0.55272,1.07792,0.44532,1.10368,0.0007055,0.0007055,0.0007055
134,1483.58,0.49146,0.35267,0.83266,0.91515,0.70462,0.84173,0.54381,1.12189,0.43626,1.12881,0.000701375,0.000701375,0.000701375
135,1494.14,0.48033,0.3384,0.82979,0.78871,0.81532,0.83796,0.57222,1.07976,0.46242,1.09343,0.00069725,0.00069725,0.00069725
136,1504.69,0.48998,0.33886,0.83285,0.78032,0.82353,0.86999,0.58657,1.07289,0.45694,1.10126,0.000693125,0.000693125,0.000693125
137,1515.34,0.48131,0.34202,0.82724,0.78271,0.8535,0.87151,0.55061,1.09114,0.44035,1.08449,0.000689,0.000689,0.000689
138,1525.87,0.49634,0.3415,0.83272,0.85392,0.72186,0.81731,0.53377,1.0904,0.45462,1.10745,0.000684875,0.000684875,0.000684875
139,1536.71,0.47125,0.32794,0.82795,0.83272,0.76478,0.84302,0.53007,1.10509,0.48175,1.10179,0.00068075,0.00068075,0.00068075
140,1548.43,0.46433,0.33209,0.82582,0.76955,0.75954,0.84909,0.55687,1.13,0.47801,1.11031,0.000676625,0.000676625,0.000676625
141,1559.09,0.45925,0.34369,0.8247,0.8061,0.72309,0.83548,0.5202,1.12095,0.46781,1.11022,0.0006725,0.0006725,0.0006725
142,1569.78,0.47854,0.34222,0.83018,0.84158,0.7158,0.80603,0.5291,1.1423,0.47272,1.14785,0.000668375,0.000668375,0.000668375
143,1580.73,0.47868,0.34164,0.82886,0.75825,0.7391,0.82024,0.52206,1.12817,0.4639,1.13552,0.00066425,0.00066425,0.00066425
144,1591.47,0.48896,0.34285,0.83251,0.86706,0.66886,0.80775,0.52296,1.12253,0.47907,1.12989,0.000660125,0.000660125,0.000660125
145,1602.24,0.4696,0.3327,0.83054,0.84719,0.74062,0.84487,0.55345,1.12819,0.50367,1.11305,0.000656,0.000656,0.000656
146,1613.04,0.46302,0.32464,0.82598,0.80821,0.88758,0.87707,0.56541,1.09594,0.54671,1.07308,0.000651875,0.000651875,0.000651875
147,1623.73,0.46714,0.32525,0.8265,0.81153,0.81751,0.86329,0.57559,1.1023,0.5472,1.10276,0.00064775,0.00064775,0.00064775
